penyebut,pembilang,penyebut m(x),pembilang m(x),tau(x),sigma(x),maks orbit(penyebut),maks orbit(pembilang),banyaknya n,banyaknya kenaikan,mutlak selisih maksimum(penyebut),mutlak selisih maksimum(pembilang),klasifikasi
2873064,1795669,119711,257357,227,100,3830752,17370539,112,185,3830752,7793659,1
2833752,1771099,472292,1015505,227,99,3778336,17133029,112,185,3778336,7687189,1
1388472,867797,925648,1990771,227,114,1851296,8394907,112,185,1851296,3766667,1
1372488,857807,914992,1968127,227,113,1829984,8298337,112,185,1829984,3723377,1
681600,426001,908800,1954969,227,54,908800,4121111,112,185,908800,1849111,1
2673912,1671199,445652,958895,227,94,3565216,16167329,112,185,3565216,7254289,1
660432,412771,880576,1894993,227,53,880576,3993221,112,185,880576,1791781,1
2635464,1647169,219622,472639,227,93,3513952,15935039,112,185,3513952,7150159,1
2481672,1551049,206806,445405,227,194,3308896,15005879,112,185,3308896,6733639,1
2480808,1550509,103367,222626,227,90,3307744,15000659,112,185,3307744,6731299,1
2467416,1542139,21644,46619,227,193,3289888,14919749,112,185,3289888,6695029,1
1229496,768437,819664,1765555,227,62,1639328,7434427,112,185,1639328,3336107,1
2444088,1527559,407348,877499,227,89,3258784,14778809,112,185,3258784,6631849,1
1199688,749807,799792,1723327,227,61,1599584,7254337,112,185,1599584,3255377,1
574896,359311,766528,1652641,227,50,766528,3476441,112,185,766528,1560121,1
555456,347161,740608,1597561,227,49,740608,3358991,112,185,740608,1507471,1
8566440,5354041,2855480,6162971,227,200,11421920,51805351,112,185,11421920,23250551,1
8543400,5339641,2847800,6146651,227,200,11391200,51666151,112,185,11391200,23188151,1
8506392,5316511,2835464,6120437,227,200,667168,3026033,112,185,667168,1358113,1
8483352,5302111,2827784,6104117,227,200,11311136,51303361,112,185,11311136,23025521,1
